[ 2024-03-12 00:45:05,329 ] 139 root - INFO - Initializing model building.
[ 2024-03-12 00:45:11,271 ] 29 root - INFO - Xtrain_resample shape: (10167006, 11)
[ 2024-03-12 00:45:11,271 ] 30 root - INFO - Ytrain_resample shape: (10167006, 1)
[ 2024-03-12 00:45:11,271 ] 72 root - INFO - Starting incremental hyperparameter tuning for XGBoost classifier with MLflow tracking.
[ 2024-03-12 00:45:11,364 ] 864 hyperopt.tpe - INFO - build_posterior_wrapper took 0.000984 seconds
[ 2024-03-12 00:45:11,364 ] 900 hyperopt.tpe - INFO - TPE using 0 trials
[ 2024-03-12 00:45:28,983 ] 864 hyperopt.tpe - INFO - build_posterior_wrapper took 0.001157 seconds
[ 2024-03-12 00:45:28,983 ] 900 hyperopt.tpe - INFO - TPE using 1/1 trials with best loss -0.999368
[ 2024-03-12 00:45:48,667 ] 864 hyperopt.tpe - INFO - build_posterior_wrapper took 0.001203 seconds
[ 2024-03-12 00:45:48,668 ] 900 hyperopt.tpe - INFO - TPE using 2/2 trials with best loss -0.999414
[ 2024-03-12 00:46:08,278 ] 864 hyperopt.tpe - INFO - build_posterior_wrapper took 0.001333 seconds
[ 2024-03-12 00:46:08,279 ] 900 hyperopt.tpe - INFO - TPE using 3/3 trials with best loss -0.999414
[ 2024-03-12 00:46:25,335 ] 864 hyperopt.tpe - INFO - build_posterior_wrapper took 0.001717 seconds
[ 2024-03-12 00:46:25,336 ] 900 hyperopt.tpe - INFO - TPE using 4/4 trials with best loss -0.999414
[ 2024-03-12 00:46:46,340 ] 864 hyperopt.tpe - INFO - build_posterior_wrapper took 0.001568 seconds
[ 2024-03-12 00:46:46,341 ] 900 hyperopt.tpe - INFO - TPE using 5/5 trials with best loss -0.999414
[ 2024-03-12 00:47:02,381 ] 864 hyperopt.tpe - INFO - build_posterior_wrapper took 0.001400 seconds
[ 2024-03-12 00:47:02,382 ] 900 hyperopt.tpe - INFO - TPE using 6/6 trials with best loss -0.999414
[ 2024-03-12 00:47:22,215 ] 864 hyperopt.tpe - INFO - build_posterior_wrapper took 0.001370 seconds
[ 2024-03-12 00:47:22,215 ] 900 hyperopt.tpe - INFO - TPE using 7/7 trials with best loss -0.999414
[ 2024-03-12 00:47:47,373 ] 864 hyperopt.tpe - INFO - build_posterior_wrapper took 0.001396 seconds
[ 2024-03-12 00:47:47,374 ] 900 hyperopt.tpe - INFO - TPE using 8/8 trials with best loss -0.999707
[ 2024-03-12 00:48:06,605 ] 864 hyperopt.tpe - INFO - build_posterior_wrapper took 0.001688 seconds
[ 2024-03-12 00:48:06,607 ] 900 hyperopt.tpe - INFO - TPE using 9/9 trials with best loss -0.999707
[ 2024-03-12 00:48:30,896 ] 864 hyperopt.tpe - INFO - build_posterior_wrapper took 0.001335 seconds
[ 2024-03-12 00:48:30,897 ] 900 hyperopt.tpe - INFO - TPE using 10/10 trials with best loss -0.999718
[ 2024-03-12 00:48:55,083 ] 864 hyperopt.tpe - INFO - build_posterior_wrapper took 0.001378 seconds
[ 2024-03-12 00:48:55,083 ] 900 hyperopt.tpe - INFO - TPE using 11/11 trials with best loss -0.999718
[ 2024-03-12 00:49:16,110 ] 864 hyperopt.tpe - INFO - build_posterior_wrapper took 0.001609 seconds
[ 2024-03-12 00:49:16,110 ] 900 hyperopt.tpe - INFO - TPE using 12/12 trials with best loss -0.999718
[ 2024-03-12 00:49:32,673 ] 864 hyperopt.tpe - INFO - build_posterior_wrapper took 0.001355 seconds
[ 2024-03-12 00:49:32,675 ] 900 hyperopt.tpe - INFO - TPE using 13/13 trials with best loss -0.999718
[ 2024-03-12 00:49:52,108 ] 864 hyperopt.tpe - INFO - build_posterior_wrapper took 0.001420 seconds
[ 2024-03-12 00:49:52,108 ] 900 hyperopt.tpe - INFO - TPE using 14/14 trials with best loss -0.999718
[ 2024-03-12 00:50:11,006 ] 864 hyperopt.tpe - INFO - build_posterior_wrapper took 0.001422 seconds
[ 2024-03-12 00:50:11,007 ] 900 hyperopt.tpe - INFO - TPE using 15/15 trials with best loss -0.999718
[ 2024-03-12 00:50:27,938 ] 864 hyperopt.tpe - INFO - build_posterior_wrapper took 0.001391 seconds
