[ 2024-03-12 01:27:08,369 ] 139 root - INFO - Initializing model building.
[ 2024-03-12 01:27:14,398 ] 29 root - INFO - Xtrain_resample shape: (10167006, 11)
[ 2024-03-12 01:27:14,398 ] 30 root - INFO - Ytrain_resample shape: (10167006, 1)
[ 2024-03-12 01:27:14,398 ] 72 root - INFO - Starting incremental hyperparameter tuning for XGBoost classifier with MLflow tracking.
[ 2024-03-12 01:27:14,511 ] 864 hyperopt.tpe - INFO - build_posterior_wrapper took 0.001322 seconds
[ 2024-03-12 01:27:14,511 ] 900 hyperopt.tpe - INFO - TPE using 0 trials
[ 2024-03-12 01:27:34,025 ] 864 hyperopt.tpe - INFO - build_posterior_wrapper took 0.000964 seconds
[ 2024-03-12 01:27:34,025 ] 900 hyperopt.tpe - INFO - TPE using 1/1 trials with best loss -0.993848
[ 2024-03-12 01:27:51,355 ] 864 hyperopt.tpe - INFO - build_posterior_wrapper took 0.001097 seconds
[ 2024-03-12 01:27:51,356 ] 900 hyperopt.tpe - INFO - TPE using 2/2 trials with best loss -0.993848
[ 2024-03-12 01:28:08,571 ] 864 hyperopt.tpe - INFO - build_posterior_wrapper took 0.001048 seconds
[ 2024-03-12 01:28:08,572 ] 900 hyperopt.tpe - INFO - TPE using 3/3 trials with best loss -0.999061
[ 2024-03-12 01:28:27,187 ] 864 hyperopt.tpe - INFO - build_posterior_wrapper took 0.001925 seconds
[ 2024-03-12 01:28:27,188 ] 900 hyperopt.tpe - INFO - TPE using 4/4 trials with best loss -0.999061
[ 2024-03-12 01:28:43,402 ] 864 hyperopt.tpe - INFO - build_posterior_wrapper took 0.001448 seconds
[ 2024-03-12 01:28:43,403 ] 900 hyperopt.tpe - INFO - TPE using 5/5 trials with best loss -0.999061
[ 2024-03-12 01:29:00,905 ] 864 hyperopt.tpe - INFO - build_posterior_wrapper took 0.001393 seconds
[ 2024-03-12 01:29:00,906 ] 900 hyperopt.tpe - INFO - TPE using 6/6 trials with best loss -0.999550
[ 2024-03-12 01:29:23,675 ] 864 hyperopt.tpe - INFO - build_posterior_wrapper took 0.001250 seconds
[ 2024-03-12 01:29:23,675 ] 900 hyperopt.tpe - INFO - TPE using 7/7 trials with best loss -0.999652
[ 2024-03-12 01:29:40,505 ] 864 hyperopt.tpe - INFO - build_posterior_wrapper took 0.001350 seconds
[ 2024-03-12 01:29:40,506 ] 900 hyperopt.tpe - INFO - TPE using 8/8 trials with best loss -0.999652
[ 2024-03-12 01:30:04,370 ] 864 hyperopt.tpe - INFO - build_posterior_wrapper took 0.001374 seconds
[ 2024-03-12 01:30:04,370 ] 900 hyperopt.tpe - INFO - TPE using 9/9 trials with best loss -0.999681
[ 2024-03-12 01:30:23,173 ] 864 hyperopt.tpe - INFO - build_posterior_wrapper took 0.001339 seconds
[ 2024-03-12 01:30:23,174 ] 900 hyperopt.tpe - INFO - TPE using 10/10 trials with best loss -0.999681
[ 2024-03-12 01:30:42,664 ] 864 hyperopt.tpe - INFO - build_posterior_wrapper took 0.001392 seconds
[ 2024-03-12 01:30:42,664 ] 900 hyperopt.tpe - INFO - TPE using 11/11 trials with best loss -0.999681
[ 2024-03-12 01:31:05,957 ] 864 hyperopt.tpe - INFO - build_posterior_wrapper took 0.001450 seconds
[ 2024-03-12 01:31:05,957 ] 900 hyperopt.tpe - INFO - TPE using 12/12 trials with best loss -0.999681
[ 2024-03-12 01:31:23,304 ] 864 hyperopt.tpe - INFO - build_posterior_wrapper took 0.001351 seconds
[ 2024-03-12 01:31:23,304 ] 900 hyperopt.tpe - INFO - TPE using 13/13 trials with best loss -0.999681
[ 2024-03-12 01:31:39,058 ] 864 hyperopt.tpe - INFO - build_posterior_wrapper took 0.001245 seconds
[ 2024-03-12 01:31:39,058 ] 900 hyperopt.tpe - INFO - TPE using 14/14 trials with best loss -0.999681
[ 2024-03-12 01:31:55,116 ] 864 hyperopt.tpe - INFO - build_posterior_wrapper took 0.001301 seconds
[ 2024-03-12 01:31:55,117 ] 900 hyperopt.tpe - INFO - TPE using 15/15 trials with best loss -0.999681
[ 2024-03-12 01:32:12,365 ] 864 hyperopt.tpe - INFO - build_posterior_wrapper took 0.001432 seconds
[ 2024-03-12 01:32:12,365 ] 900 hyperopt.tpe - INFO - TPE using 16/16 trials with best loss -0.999681
[ 2024-03-12 01:32:29,773 ] 864 hyperopt.tpe - INFO - build_posterior_wrapper took 0.001187 seconds
[ 2024-03-12 01:32:29,774 ] 900 hyperopt.tpe - INFO - TPE using 17/17 trials with best loss -0.999681
[ 2024-03-12 01:32:48,220 ] 864 hyperopt.tpe - INFO - build_posterior_wrapper took 0.001406 seconds
[ 2024-03-12 01:32:48,221 ] 900 hyperopt.tpe - INFO - TPE using 18/18 trials with best loss -0.999681
[ 2024-03-12 01:33:05,582 ] 864 hyperopt.tpe - INFO - build_posterior_wrapper took 0.001237 seconds
[ 2024-03-12 01:33:05,583 ] 900 hyperopt.tpe - INFO - TPE using 19/19 trials with best loss -0.999681
[ 2024-03-12 01:33:21,498 ] 864 hyperopt.tpe - INFO - build_posterior_wrapper took 0.001352 seconds
[ 2024-03-12 01:33:21,501 ] 900 hyperopt.tpe - INFO - TPE using 20/20 trials with best loss -0.999681
[ 2024-03-12 01:33:45,639 ] 864 hyperopt.tpe - INFO - build_posterior_wrapper took 0.001541 seconds
[ 2024-03-12 01:33:45,640 ] 900 hyperopt.tpe - INFO - TPE using 21/21 trials with best loss -0.999681
[ 2024-03-12 01:34:10,010 ] 864 hyperopt.tpe - INFO - build_posterior_wrapper took 0.001343 seconds
[ 2024-03-12 01:34:10,011 ] 900 hyperopt.tpe - INFO - TPE using 22/22 trials with best loss -0.999681
[ 2024-03-12 01:34:31,307 ] 864 hyperopt.tpe - INFO - build_posterior_wrapper took 0.001344 seconds
[ 2024-03-12 01:34:31,307 ] 900 hyperopt.tpe - INFO - TPE using 23/23 trials with best loss -0.999681
[ 2024-03-12 01:34:55,841 ] 864 hyperopt.tpe - INFO - build_posterior_wrapper took 0.001321 seconds
[ 2024-03-12 01:34:55,842 ] 900 hyperopt.tpe - INFO - TPE using 24/24 trials with best loss -0.999692
